id,sex,age,height,weight,headband,college,tattoos,tchests,parrots,favorite.pirate,sword.type,eyepatch,sword.time,beard.length,fav.pixar,grogg,favorite.sea
62,male,19.0,174.94,73.2,yes,CCCC,11.0,3.0,0,Lewis Scot,cutlass,0.0,1.22,20.0,WALL-E,14.0,
63,male,26.0,178.15,81.0,no,CCCC,10.0,0.0,10,Jack Sparrow,sabre,1.0,4.86,15.0,Up,7.0,
64,female,32.0,157.91,54.2,no,JSSFP,6.0,14.0,1,Jack Sparrow,scimitar,1.0,14.62,0.0,The Incredibles,11.0,
65,female,23.0,168.26,70.8,yes,CCCC,9.0,20.0,1,Lewis Scot,cutlass,1.0,3.79,2.0,Inside Out,9.0,
66,other,22.0,186.29,87.5,yes,CCCC,11.0,26.0,1,Edward Low,cutlass,0.0,3.27,23.0,Finding Nemo,11.0,
67,male,21.0,174.63,76.7,yes,CCCC,14.0,34.0,1,Jack Sparrow,cutlass,1.0,0.04,16.0,Inside Out,8.0,
68,female,32.0,165.66,55.8,yes,JSSFP,8.0,18.0,3,Anicetus,cutlass,1.0,0.31,0.0,Inside Out,3.0,
69,male,28.0,179.63,74.9,yes,CCCC,7.0,16.0,7,Jack Sparrow,cutlass,0.0,0.44,14.0,Toy Story 2,10.0,
70,other,21.0,179.8,66.6,yes,CCCC,11.0,31.0,1,Blackbeard,cutlass,0.0,0.71,20.0,The Incredibles,6.0,
71,female,35.0,164.41,64.5,no,JSSFP,5.0,38.0,5,Lewis Scot,scimitar,0.0,1.93,0.0,WALL-E,13.0,
72,female,20.0,152.21,57.7,yes,CCCC,7.0,17.0,2,Hook,cutlass,1.0,0.71,2.0,Inside Out,4.0,
73,female,24.0,186.2,85.5,yes,CCCC,13.0,59.0,0,Hook,cutlass,1.0,0.01,0.0,The Incredibles,11.0,
74,female,38.0,161.52,58.6,yes,JSSFP,9.0,31.0,3,Hook,cutlass,0.0,0.59,1.0,Brave,7.0,
75,male,21.0,185.38,83.6,yes,CCCC,11.0,17.0,1,Jack Sparrow,cutlass,1.0,0.2,26.0,Inside Out,10.0,
76,female,34.0,155.54,59.0,yes,JSSFP,6.0,4.0,0,Hook,cutlass,1.0,0.09,0.0,Cars,13.0,
77,female,19.0,164.19,54.5,yes,CCCC,6.0,9.0,3,Lewis Scot,cutlass,1.0,0.01,0.0,Inside Out,7.0,
78,male,25.0,169.03,67.3,yes,CCCC,7.0,64.0,0,Jack Sparrow,cutlass,1.0,0.24,31.0,Inside Out,13.0,
79,male,18.0,171.32,66.6,yes,CCCC,13.0,2.0,0,Jack Sparrow,cutlass,1.0,0.89,22.0,Inside Out,12.0,
80,female,36.0,160.57,64.7,yes,JSSFP,12.0,41.0,1,Edward Low,cutlass,1.0,0.17,1.0,Monsters University,9.0,
81,female,35.0,152.77,57.6,no,JSSFP,5.0,54.0,6,Jack Sparrow,banana,1.0,2.5,0.0,Up,14.0,
82,male,22.0,187.09,79.7,yes,CCCC,16.0,2.0,1,Jack Sparrow,cutlass,0.0,0.34,26.0,The Incredibles,9.0,
83,male,21.0,159.73,70.3,yes,CCCC,12.0,0.0,1,Jack Sparrow,cutlass,1.0,1.12,14.0,Inside Out,11.0,
84,female,15.0,179.91,74.6,yes,CCCC,14.0,5.0,2,Hook,cutlass,1.0,0.78,1.0,WALL-E,10.0,
85,female,28.0,148.85,52.9,yes,CCCC,9.0,122.0,2,Blackbeard,cutlass,0.0,0.2,0.0,Toy Story,14.0,
86,female,28.0,159.63,58.4,yes,CCCC,10.0,1.0,0,Lewis Scot,cutlass,0.0,1.09,0.0,Up,7.0,
87,male,24.0,165.55,68.2,yes,CCCC,14.0,73.0,5,Jack Sparrow,cutlass,1.0,0.51,20.0,The Incredibles,11.0,
88,female,34.0,169.06,63.6,no,JSSFP,6.0,1.0,2,Hook,banana,1.0,18.92,0.0,Finding Nemo,10.0,
89,male,15.0,173.03,71.4,yes,CCCC,13.0,25.0,1,Jack Sparrow,scimitar,0.0,9.71,22.0,Cars,13.0,
90,other,15.0,169.57,67.3,yes,CCCC,10.0,7.0,2,Hook,cutlass,0.0,1.37,20.0,Finding Nemo,9.0,
91,male,22.0,179.77,81.1,yes,CCCC,3.0,0.0,2,Hook,cutlass,0.0,1.86,15.0,Finding Nemo,14.0,
92,male,31.0,180.68,79.4,yes,JSSFP,9.0,13.0,1,Jack Sparrow,cutlass,1.0,2.18,10.0,"Monsters, Inc.",6.0,
93,male,29.0,169.89,70.4,yes,JSSFP,7.0,75.0,24,Jack Sparrow,cutlass,1.0,2.13,18.0,Monsters University,11.0,
94,male,20.0,178.16,76.8,yes,CCCC,12.0,7.0,0,Hook,cutlass,0.0,0.54,21.0,Up,9.0,
95,female,45.0,148.2,54.2,yes,JSSFP,11.0,21.0,21,Lewis Scot,cutlass,1.0,0.62,1.0,Inside Out,10.0,
96,female,35.0,155.69,52.5,yes,JSSFP,9.0,18.0,20,Anicetus,cutlass,1.0,1.91,1.0,Inside Out,14.0,
97,male,22.0,187.16,79.1,yes,CCCC,4.0,66.0,2,Jack Sparrow,cutlass,0.0,0.65,13.0,Finding Nemo,11.0,
98,female,17.0,166.89,70.1,yes,CCCC,7.0,10.0,2,Hook,cutlass,1.0,0.31,0.0,Inside Out,6.0,
99,female,29.0,170.84,63.5,yes,JSSFP,14.0,34.0,5,Lewis Scot,cutlass,0.0,0.5,2.0,Finding Nemo,13.0,
100,female,33.0,160.95,67.0,yes,JSSFP,9.0,72.0,0,Edward Low,cutlass,1.0,1.94,2.0,Inside Out,13.0,
101,other,33.0,168.82,63.0,yes,JSSFP,13.0,10.0,2,Blackbeard,cutlass,1.0,1.06,13.0,Up,16.0,
102,male,23.0,162.25,55.3,yes,CCCC,10.0,24.0,4,Jack Sparrow,cutlass,1.0,0.5,24.0,Inside Out,12.0,
103,male,31.0,164.73,68.0,yes,JSSFP,13.0,22.0,2,Jack Sparrow,cutlass,1.0,0.49,24.0,Inside Out,8.0,
104,male,20.0,161.89,63.9,yes,CCCC,11.0,6.0,6,Blackbeard,cutlass,1.0,4.55,16.0,"Monsters, Inc.",4.0,
105,male,25.0,161.84,61.4,no,CCCC,6.0,15.0,1,Edward Low,scimitar,1.0,3.69,6.0,Inside Out,7.0,
106,male,19.0,188.26,89.9,yes,CCCC,8.0,15.0,2,Jack Sparrow,cutlass,1.0,0.27,20.0,Inside Out,6.0,
107,male,26.0,171.98,69.8,yes,CCCC,4.0,23.0,0,Jack Sparrow,cutlass,1.0,0.09,11.0,Up,9.0,
108,male,26.0,162.77,60.8,yes,CCCC,7.0,37.0,0,Jack Sparrow,scimitar,0.0,2.91,18.0,Monsters University,10.0,
109,male,29.0,187.63,88.2,yes,CCCC,12.0,29.0,2,Jack Sparrow,cutlass,1.0,0.04,21.0,Inside Out,12.0,
110,male,34.0,186.93,85.1,yes,JSSFP,4.0,63.0,4,Jack Sparrow,cutlass,0.0,0.03,15.0,The Incredibles,12.0,
111,male,30.0,188.19,86.2,yes,JSSFP,12.0,2.0,3,Jack Sparrow,cutlass,0.0,0.3,12.0,Monsters University,13.0,
112,male,26.0,173.92,72.3,yes,CCCC,15.0,59.0,4,Jack Sparrow,cutlass,1.0,0.33,25.0,Inside Out,10.0,
113,male,29.0,174.55,73.6,yes,JSSFP,12.0,8.0,4,Edward Low,cutlass,1.0,0.91,18.0,Inside Out,7.0,
114,male,27.0,156.65,59.6,yes,CCCC,1.0,2.0,2,Jack Sparrow,cutlass,1.0,0.08,8.0,Inside Out,13.0,
115,male,29.0,188.16,90.8,yes,CCCC,18.0,9.0,2,Jack Sparrow,cutlass,0.0,0.48,26.0,The Incredibles,10.0,
116,male,17.0,165.18,62.7,yes,CCCC,9.0,9.0,2,Jack Sparrow,cutlass,1.0,0.18,13.0,Inside Out,6.0,
117,male,31.0,184.16,79.2,yes,JSSFP,5.0,6.0,6,Jack Sparrow,cutlass,0.0,0.28,4.0,Monsters University,11.0,
118,male,19.0,176.42,77.6,yes,CCCC,14.0,0.0,4,Jack Sparrow,cutlass,1.0,0.02,16.0,Inside Out,16.0,
119,female,30.0,163.22,70.9,yes,CCCC,9.0,67.0,1,Lewis Scot,cutlass,0.0,0.48,0.0,Monsters University,8.0,
120,female,16.0,161.14,65.2,yes,CCCC,9.0,2.0,0,Jack Sparrow,cutlass,1.0,0.12,1.0,Cars 2,7.0,
121,female,33.0,166.0,66.7,yes,JSSFP,5.0,24.0,0,Edward Low,cutlass,0.0,0.66,0.0,Monsters University,11.0,
122,female,26.0,150.86,56.7,yes,CCCC,11.0,9.0,4,Blackbeard,cutlass,1.0,0.1,1.0,A Bug's Life,9.0,
123,male,18.0,176.82,76.9,yes,CCCC,9.0,22.0,5,Jack Sparrow,cutlass,1.0,1.92,17.0,"Monsters, Inc.",9.0,
124,male,37.0,175.59,71.8,yes,JSSFP,10.0,21.0,9,Jack Sparrow,cutlass,0.0,0.42,20.0,Up,12.0,
125,female,33.0,178.94,84.3,yes,JSSFP,10.0,0.0,1,Lewis Scot,cutlass,1.0,0.33,0.0,The Incredibles,6.0,
126,female,30.0,163.79,65.6,yes,CCCC,17.0,33.0,1,Lewis Scot,cutlass,1.0,0.9,1.0,Inside Out,8.0,
127,female,39.0,161.16,60.2,yes,JSSFP,12.0,0.0,0,Hook,cutlass,0.0,0.04,1.0,Finding Nemo,14.0,
128,male,32.0,167.12,64.5,yes,JSSFP,11.0,10.0,5,Jack Sparrow,cutlass,0.0,0.05,18.0,Finding Nemo,2.0,
129,male,28.0,167.41,67.1,yes,CCCC,5.0,3.0,7,Hook,cutlass,0.0,1.41,11.0,Finding Nemo,6.0,
130,male,32.0,180.26,75.6,yes,JSSFP,14.0,36.0,1,Jack Sparrow,cutlass,1.0,0.06,25.0,Inside Out,12.0,
131,female,32.0,148.7,57.6,yes,JSSFP,10.0,14.0,9,Edward Low,banana,1.0,19.58,0.0,Toy Story,11.0,
132,female,21.0,166.57,65.1,yes,CCCC,8.0,19.0,1,Lewis Scot,cutlass,0.0,0.19,0.0,Cars,5.0,
133,female,30.0,171.3,76.5,yes,CCCC,7.0,48.0,6,Lewis Scot,cutlass,1.0,0.5,0.0,Inside Out,10.0,
134,male,16.0,191.17,86.9,no,CCCC,5.0,27.0,3,Jack Sparrow,sabre,0.0,4.78,13.0,Finding Nemo,10.0,
135,female,34.0,167.86,67.9,yes,JSSFP,6.0,29.0,1,Jack Sparrow,cutlass,1.0,1.72,1.0,Toy Story,9.0,
136,male,22.0,185.72,77.5,yes,CCCC,12.0,4.0,2,Jack Sparrow,cutlass,0.0,0.7,24.0,Finding Nemo,6.0,
137,female,25.0,158.13,62.4,yes,CCCC,12.0,20.0,2,Blackbeard,cutlass,1.0,,2.0,Cars 2,17.0,
138,male,31.0,169.92,69.5,yes,JSSFP,12.0,3.0,14,Jack Sparrow,cutlass,0.0,0.1,18.0,A Bug's Life,8.0,
139,male,27.0,172.41,70.5,yes,CCCC,8.0,3.0,15,Jack Sparrow,cutlass,1.0,0.15,20.0,Inside Out,15.0,
140,male,30.0,170.09,68.9,yes,JSSFP,8.0,69.0,0,Jack Sparrow,cutlass,1.0,0.18,22.0,Monsters University,12.0,
141,other,31.0,167.26,63.3,yes,JSSFP,12.0,92.0,6,Jack Sparrow,cutlass,1.0,0.94,22.0,WALL-E,11.0,
142,female,26.0,157.1,56.2,yes,CCCC,13.0,14.0,4,Edward Low,cutlass,0.0,0.19,0.0,A Bug's Life,16.0,
143,female,29.0,160.15,55.5,yes,CCCC,12.0,35.0,2,Jack Sparrow,cutlass,0.0,1.33,0.0,Finding Nemo,11.0,
144,male,31.0,170.28,66.9,yes,JSSFP,4.0,74.0,1,Jack Sparrow,cutlass,0.0,0.72,16.0,Monsters University,7.0,
145,other,31.0,178.68,71.7,yes,CCCC,10.0,36.0,0,Hook,cutlass,1.0,0.96,12.0,Inside Out,11.0,
146,male,26.0,161.51,63.7,yes,CCCC,11.0,7.0,0,Jack Sparrow,cutlass,1.0,0.11,21.0,Up,14.0,
147,female,29.0,154.84,59.3,yes,CCCC,10.0,28.0,1,Anicetus,cutlass,0.0,0.06,0.0,Finding Nemo,10.0,
148,male,19.0,190.82,85.2,yes,CCCC,10.0,24.0,1,Jack Sparrow,cutlass,0.0,0.56,13.0,Finding Nemo,11.0,
149,male,13.0,186.85,82.5,yes,CCCC,8.0,5.0,1,Hook,cutlass,1.0,0.64,28.0,Inside Out,7.0,
150,female,26.0,176.27,74.5,yes,CCCC,7.0,4.0,1,Edward Low,cutlass,1.0,1.25,0.0,Inside Out,9.0,
151,female,31.0,172.18,71.2,yes,JSSFP,12.0,19.0,1,Anicetus,cutlass,1.0,0.67,0.0,The Incredibles,8.0,
152,male,36.0,171.48,73.6,yes,JSSFP,9.0,43.0,1,Lewis Scot,cutlass,1.0,0.81,21.0,Inside Out,10.0,
153,female,29.0,152.03,59.0,yes,CCCC,7.0,5.0,0,Hook,cutlass,0.0,0.12,0.0,Finding Nemo,11.0,
154,female,34.0,159.16,60.8,yes,JSSFP,10.0,13.0,4,Edward Low,cutlass,1.0,1.75,0.0,Inside Out,6.0,
155,male,22.0,179.91,75.8,yes,CCCC,10.0,18.0,1,Jack Sparrow,cutlass,0.0,0.79,16.0,Toy Story 2,2.0,
156,female,26.0,158.18,61.5,yes,CCCC,8.0,21.0,3,Blackbeard,sabre,0.0,1.17,0.0,Finding Nemo,9.0,
157,male,34.0,157.83,63.1,yes,JSSFP,19.0,30.0,5,Edward Low,cutlass,0.0,0.6,35.0,Brave,12.0,
158,male,26.0,183.98,79.8,yes,CCCC,9.0,4.0,3,Jack Sparrow,cutlass,1.0,0.08,18.0,Inside Out,9.0,
159,female,32.0,160.9,66.7,yes,JSSFP,12.0,6.0,4,Anicetus,scimitar,1.0,38.49,0.0,The Incredibles,15.0,
160,female,26.0,167.04,70.3,yes,CCCC,7.0,14.0,1,Lewis Scot,cutlass,1.0,0.13,1.0,Inside Out,11.0,
161,male,20.0,187.23,81.4,yes,CCCC,12.0,60.0,3,Anicetus,sabre,1.0,2.44,22.0,Toy Story,13.0,
162,male,22.0,186.99,84.2,yes,CCCC,13.0,9.0,1,Jack Sparrow,cutlass,1.0,0.21,12.0,Inside Out,9.0,
163,male,18.0,169.19,66.8,yes,CCCC,10.0,27.0,1,Jack Sparrow,scimitar,0.0,0.25,13.0,Finding Nemo,10.0,
164,male,22.0,191.65,91.0,yes,CCCC,6.0,28.0,7,Jack Sparrow,scimitar,1.0,3.78,12.0,Brave,9.0,
165,female,36.0,156.18,55.6,yes,JSSFP,13.0,28.0,4,Hook,cutlass,1.0,0.83,1.0,Inside Out,13.0,
166,male,21.0,181.4,80.4,yes,CCCC,10.0,1.0,0,Jack Sparrow,cutlass,1.0,0.13,23.0,Inside Out,7.0,
167,male,25.0,182.91,75.1,yes,CCCC,11.0,72.0,3,Jack Sparrow,cutlass,0.0,0.39,29.0,Finding Nemo,8.0,
168,female,34.0,157.38,57.6,yes,JSSFP,11.0,13.0,1,Hook,cutlass,0.0,0.46,1.0,Finding Nemo,11.0,
169,male,23.0,198.72,90.5,yes,CCCC,12.0,13.0,3,Jack Sparrow,cutlass,1.0,2.22,24.0,Monsters University,10.0,
170,female,26.0,153.9,61.1,yes,CCCC,7.0,8.0,2,Anicetus,cutlass,1.0,0.44,1.0,The Incredibles,13.0,
171,male,21.0,168.89,69.3,yes,CCCC,10.0,26.0,1,Jack Sparrow,cutlass,1.0,1.37,22.0,"Monsters, Inc.",8.0,
172,female,28.0,163.18,63.8,no,CCCC,4.0,13.0,0,Lewis Scot,sabre,1.0,2.23,0.0,Inside Out,12.0,
173,male,19.0,155.42,55.6,yes,CCCC,12.0,12.0,1,Jack Sparrow,scimitar,0.0,23.93,20.0,Up,8.0,
174,female,36.0,147.33,47.5,no,JSSFP,2.0,55.0,4,Jack Sparrow,sabre,1.0,2.25,0.0,Inside Out,6.0,
175,male,29.0,170.81,70.8,yes,CCCC,6.0,110.0,1,Jack Sparrow,cutlass,0.0,0.47,8.0,Monsters University,8.0,
176,female,33.0,143.11,49.8,yes,JSSFP,11.0,13.0,4,Edward Low,cutlass,1.0,0.56,1.0,The Incredibles,13.0,
177,male,14.0,190.17,79.9,no,CCCC,1.0,14.0,1,Jack Sparrow,sabre,1.0,0.59,13.0,Inside Out,11.0,
178,female,27.0,148.37,52.5,no,CCCC,5.0,2.0,5,Lewis Scot,scimitar,0.0,4.78,0.0,Finding Nemo,7.0,
179,female,33.0,166.17,61.7,yes,JSSFP,15.0,60.0,0,Blackbeard,cutlass,0.0,0.21,1.0,Finding Nemo,10.0,
180,male,20.0,189.18,82.9,yes,CCCC,6.0,25.0,1,Jack Sparrow,cutlass,1.0,1.11,18.0,Up,13.0,
181,male,20.0,179.45,74.2,yes,CCCC,7.0,4.0,1,Jack Sparrow,cutlass,1.0,0.41,15.0,Up,13.0,
182,male,24.0,161.99,59.8,yes,CCCC,11.0,34.0,5,Jack Sparrow,sabre,1.0,4.63,20.0,Cars,12.0,
183,male,34.0,176.75,81.8,yes,JSSFP,11.0,2.0,1,Jack Sparrow,cutlass,1.0,0.22,26.0,Inside Out,8.0,
184,male,29.0,178.71,75.1,yes,CCCC,5.0,19.0,4,Anicetus,cutlass,1.0,0.46,12.0,Toy Story 2,11.0,
185,male,35.0,171.74,75.9,yes,JSSFP,12.0,11.0,1,Lewis Scot,cutlass,1.0,2.44,21.0,Finding Nemo,11.0,
186,female,27.0,146.73,46.2,yes,CCCC,6.0,15.0,2,Blackbeard,scimitar,1.0,14.94,0.0,Toy Story 3,9.0,
187,male,20.0,170.14,68.0,yes,CCCC,13.0,10.0,1,Jack Sparrow,cutlass,1.0,0.58,25.0,Inside Out,11.0,
188,female,39.0,180.84,75.0,yes,JSSFP,11.0,44.0,9,Hook,cutlass,1.0,0.47,0.0,The Incredibles,10.0,
189,female,33.0,169.4,71.4,yes,JSSFP,10.0,58.0,3,Hook,cutlass,1.0,0.58,0.0,Inside Out,7.0,
190,female,28.0,150.1,64.5,yes,CCCC,11.0,1.0,6,Lewis Scot,cutlass,1.0,0.17,0.0,Monsters University,11.0,
191,female,25.0,164.38,69.1,yes,CCCC,15.0,23.0,2,Lewis Scot,cutlass,0.0,0.44,0.0,Finding Nemo,11.0,
192,male,32.0,167.03,68.2,yes,JSSFP,12.0,6.0,3,Hook,cutlass,1.0,0.35,26.0,Inside Out,12.0,
193,female,26.0,173.1,75.8,yes,CCCC,10.0,20.0,5,Jack Sparrow,cutlass,1.0,0.23,0.0,Inside Out,13.0,
194,male,30.0,187.11,87.7,yes,JSSFP,8.0,5.0,1,Jack Sparrow,cutlass,1.0,0.54,17.0,Inside Out,7.0,
195,male,29.0,196.66,90.2,yes,JSSFP,10.0,22.0,6,Jack Sparrow,cutlass,1.0,0.25,27.0,Monsters University,12.0,
196,female,27.0,162.91,61.8,yes,CCCC,8.0,46.0,7,Edward Low,cutlass,1.0,0.43,1.0,Up,7.0,
197,female,26.0,161.73,70.3,yes,CCCC,10.0,23.0,1,Lewis Scot,cutlass,0.0,0.35,1.0,Up,13.0,
